member,NSE,R2,RMSE,MAE,Bias,PBIAS
member_038,0.7305068868624989,0.7468873147091323,0.014528978894550447,0.010156360672705115,-0.0034827060950265013,-4.65397863617422
member_039,0.679476043332591,0.709985631645798,0.0158449730489639,0.012002644547908847,0.004763836775498242,6.365967720058558
member_040,0.7077799528593367,0.7128579104603474,0.015129210325774831,0.010817215587071596,0.0006815193565210626,0.9107218464164119
member_041,0.6961487059765255,0.715067083034556,0.015427366691488798,0.011271957392500342,0.0027195082943390287,3.63410898233034
member_042,0.7034559974220091,0.7117850677201168,0.01524073212180522,0.010935445406890787,0.0021709152775618505,2.9010180724538572
member_043,0.7219552750757241,0.7334742876494078,0.014757696929794973,0.010501142886162688,-0.002337961846704604,-3.124244248543418
member_044,0.7191402546274824,0.7307849625975693,0.014832214793995652,0.010334205041024737,-0.002257445483384215,-3.016649342590643
member_045,0.706505394013222,0.7140073817074327,0.015162168516562588,0.010606142425771644,-0.0015998520515274792,-2.1378999736673814
member_046,0.7317736466510374,0.7442614755379225,0.014494791740416272,0.010365314095501958,-0.002788902188080814,-3.7268408092899605
member_047,0.706062961068736,0.7093229871404654,0.015173592434613593,0.010537989441446585,0.00013949238301770751,0.18640521271678034
member_048,0.7089041069927852,0.7162132170174307,0.015100081672873846,0.010486716349632764,-0.002392720535977594,-3.1974188900629343
member_049,0.7022384300957805,0.7277711538558103,0.015271988206225,0.010492572291314931,-0.004117813552239701,-5.502679748727524
member_050,0.7095368256131889,0.7169868802978719,0.015083662169263138,0.010612401465631133,7.365412365426128e-05,0.09842481926412969
member_051,0.7104021510364982,0.7165200411076409,0.015061177370683316,0.010470226754325514,-0.0014075874994934979,-1.8809747283997507
member_052,0.692429897943313,0.6973968766701537,0.015521486646722817,0.011050894830033417,0.0005450597002809128,0.7283693000019253
member_053,0.7031758171098781,0.7125664973292732,0.015247930286145062,0.010998628654078725,0.0020168159979476845,2.6950935024195575
member_054,0.6838652104358316,0.7061688541311988,0.015736110725254184,0.011468900579632912,0.0032846057034507364,4.389254894045087
member_055,0.7021830239952089,0.7259549412171287,0.015273409010722985,0.01074077360439429,-0.0040263650630067704,-5.380476122125715
member_056,0.7034027579266722,0.7143241239493189,0.015242100169151038,0.010429283458221443,-0.0004061875430680879,-0.5427929018812575
member_057,0.6850001771785809,0.7043352755232098,0.0157078379414854,0.011069506985476036,0.00010793304178811122,0.1442321163237137
member_058,0.7362306342203695,0.7422229748096719,0.01437386080176425,0.010401086161048463,0.0017587999494837487,2.350303805965969
member_059,0.7102684240686457,0.7237798408208198,0.015064654352872528,0.010539333132927849,-0.0022477776060478415,-3.0037300512829765
member_060,0.7150713264139192,0.7235974145336138,0.014939268589168667,0.010983031236998122,0.0020575055496528973,2.749467399953431
member_061,0.6736226970575265,0.70223072766696,0.015988997398593538,0.012226169871239423,0.0046540423032311404,6.219248153618306
member_062,0.7086220641271721,0.7257280342542324,0.015107395137788143,0.010786489492068618,-0.00324971533516361,-4.342630509389597
member_063,0.716579693571117,0.7211469193159279,0.014899673058585612,0.010216480083675487,-0.00182761392889536,-2.442260686998543
member_064,0.7160113890733386,0.7305513066147036,0.014914603729683477,0.011264285358338136,0.0027983697336249223,3.739492395010102
member_065,0.7150582918744586,0.7209793099625919,0.014939610296194002,0.010653948835182342,-0.00035375869513149834,-0.47273165308263954
member_066,0.6962618201607336,0.7307645523037993,0.015424494864925292,0.011703740511166379,0.004766314777442473,6.36927910143677
member_067,0.7314624378189278,0.738887800376385,0.014503198072362644,0.01044619013256983,0.0016054923738270418,2.1454371986777803
member_068,0.7205091048078127,0.7210128738195611,0.014796026128810291,0.010534928678655365,6.28910925580257e-05,0.08404206188649976
member_069,0.6471849977586919,0.6882886645818052,0.0166239712485104,0.011321913214989083,-0.004438898499188507,-5.93174911109228
member_070,0.690235737291204,0.7009313893100344,0.015576752278763198,0.011538758310424295,0.0025762093977187506,3.442617083427215
member_071,0.706433442117348,0.7155578050443322,0.015164026949210577,0.010537346755534346,2.608585422699995e-05,0.034858815233413755
member_072,0.6591766100104455,0.7204278933166303,0.016339018072494153,0.011603650919932635,-0.006489806706683763,-8.672400409824585
member_073,0.694624780323266,0.7204688041850209,0.015466005255809278,0.01093792395539251,-0.003944427047676256,-5.270981446883579
member_074,0.7289980899426398,0.7317921649545959,0.01456959344228982,0.010481907813054313,-0.0004572048520833693,-0.6109678956228444
member_075,0.6814570738148376,0.6961180552811403,0.015795931431782928,0.011009076080733824,-0.0031133297903837027,-4.160376998938309
member_076,0.6852848309644686,0.6947319613659024,0.01570073903887141,0.010925102550173217,0.0019166768942929738,2.561276511740902
member_077,0.713392273315759,0.7158732947448975,0.014983221658768132,0.010523853112609803,-0.00011602467473491547,-0.15504505483723582
member_078,0.683885798688602,0.7157716214202965,0.015735598310437977,0.011758938947702252,0.00453066405175562,6.054376432930881
member_079,0.6902274047259951,0.7050575647700101,0.015576961782322655,0.011032852259519079,-0.00010159386886340099,-0.13576100950113495
member_080,0.710204592618632,0.7227336036363892,0.01506631372633056,0.010776881676706332,0.0018974628091675343,2.5356005174859955
member_081,0.7012160292486184,0.7176648017500459,0.015298184859843427,0.010498937026410155,-0.001437871324241605,-1.9214433380250664
member_082,0.6941056307020936,0.7030505729627334,0.015479146075160783,0.011046077150490788,-0.002362888608909625,-3.1575541563007308
member_083,0.7095368280458252,0.7161766277324377,0.01508366210610011,0.010738013067810888,-0.0018909211983560057,-2.5268588906784686
member_084,0.6566399439031533,0.713155730629168,0.016399709035804993,0.012548123070968024,0.006335899425164114,8.466732408965427
member_085,0.6902889976425128,0.7310394321307064,0.015575413100777591,0.011027362059551777,-0.005187043675306853,-6.931503776403793
member_086,0.7427173575658627,0.7489247849161004,0.014196016681112193,0.010258624720096145,0.0009184973521681366,1.2273981604355186
member_087,0.6804446790690357,0.7452724113382915,0.015821012873850432,0.012114479320674849,0.006684700805061976,8.932839546926603
member_088,0.7179860223184595,0.7229560247525312,0.014862661073299477,0.010413905474507112,-0.0012991626657276145,-1.7360854250221935
member_089,0.6981480493930966,0.7116443510584162,0.01537652683712288,0.011418044788327749,0.0024695580050398363,3.30009764896942
member_090,0.7023164442047787,0.7082027861257874,0.015269987429895084,0.01094698862380648,0.0012175238086833409,1.6269905183034457
member_091,0.7084221026976494,0.7220333643826896,0.01511257805978204,0.010811153058576639,0.0019735416826177497,2.6372655566941945
member_092,0.6948359857372415,0.6989537608188795,0.015460655985751992,0.01071322858926477,-0.000913192312667421,-1.2203089775338527
member_093,0.7220104427177694,0.7280419959807782,0.014756232798925047,0.010057218543311635,-0.0015951317150777907,-2.13159213591335
member_094,0.6931145610695687,0.7121937627878396,0.015504201302477375,0.011346120398773214,0.0034937232247557793,4.668700948362791
member_095,0.7240033719741388,0.7265742213683508,0.01470324335314952,0.010241079123945564,-0.0007847368179016567,-1.0486524805377984
member_096,0.7108065284039387,0.724151857880747,0.01505065842720392,0.010922868380027227,0.0022405009718017913,2.9940062045384197
member_097,0.6807786424002148,0.7218792871935924,0.01581274353986672,0.011221824203096224,-0.005543464149642245,-7.407792394447338
member_098,0.7206561881933096,0.7218970765762073,0.01479213237763073,0.01051127313279675,0.00033389161776327766,0.4461830580786113
member_099,0.7072956946674245,0.7161609634112807,0.015141740970628434,0.010746628507774868,0.001218132492310485,1.6278039089599132
member_100,0.7217390421613692,0.7264957559849182,0.014763434279488976,0.010355312938139991,-0.0008835216278884699,-1.1806597136240746
